,zipcode,Population,No_Married(%),Widowed(%),Divorced(%),Separated(%),Never_Married(%),No_Married,Widowed,Divorced,Separated,Never_Married,Number_Households,Precent_Distribution_Housesholds,Median_Income_Households
487,99033,825,58.3,10.5,12.8,1.6,16.7,48097.5,8662.5,10560.0,1320.0,13777.5,383,383,53250
488,99034,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0,0,0
489,99036,1159,62.1,4.3,12.0,1.6,19.9,71973.9,4983.7,13908.0,1854.4,23064.1,567,567,72159
490,99037,11423,56.6,7.2,9.2,1.5,25.4,646541.8,82245.6,105091.6,17134.5,290144.2,5576,5576,58065
491,99039,60,41.7,0.0,20.0,0.0,38.3,2502.0,0.0,1200.0,0.0,2298.0,33,33,52679
492,99040,564,29.3,15.1,16.8,0.0,38.8,16525.2,8516.4,9475.2,0.0,21883.2,292,292,26833
493,99101,1082,57.9,10.6,12.8,0.6,18.1,62647.8,11469.2,13849.6,649.2,19584.2,549,549,38583
494,99102,463,53.1,3.0,14.3,0.0,29.6,24585.3,1389.0,6620.9,0.0,13704.8,249,249,37946
495,99103,402,69.2,5.0,10.4,1.0,14.4,27818.4,2010.0,4180.8,402.0,5788.8,205,205,61375
496,99105,37,64.9,13.5,10.8,0.0,10.8,2401.3,499.5,399.6,0.0,399.6,21,21,0
497,99109,4455,51.5,8.0,12.6,1.9,26.0,229432.5,35640.0,56133.0,8464.5,115830.0,2192,2192,40678
498,99110,1085,50.5,4.1,17.1,7.4,20.9,54792.5,4448.5,18553.5,8029.0,22676.5,522,522,31458
499,99111,3553,52.9,8.8,16.6,0.5,21.2,187953.7,31266.4,58979.8,1776.5,75323.6,1858,1858,52792
500,99113,612,70.9,3.6,10.6,0.0,14.9,43390.8,2203.2,6487.2,0.0,9118.8,328,328,63125
501,99114,10244,53.6,8.5,13.3,0.9,23.7,549078.4,87074.0,136245.2,9219.6,242782.8,5123,5123,44658
502,99115,1040,59.1,4.7,10.0,1.7,24.4,61464.0,4888.0,10400.0,1768.0,25376.0,473,473,57813
503,99116,1343,53.3,5.4,13.5,1.0,26.9,71581.9,7252.2,18130.5,1343.0,36126.7,729,729,52917
504,99117,367,63.5,6.5,7.9,5.7,16.3,23304.5,2385.5,2899.3,2091.9,5982.1,190,190,42500
505,99118,693,43.6,5.6,12.3,0.6,38.0,30214.8,3880.8,8523.9,415.8,26334.0,287,287,42578
506,99119,999,56.3,3.6,8.5,0.4,31.2,56243.7,3596.4,8491.5,399.6,31168.8,493,493,37332
507,99121,86,65.1,0.0,23.3,0.0,11.6,5598.6,0.0,2003.8,0.0,997.6,41,41,28472
508,99122,3002,60.3,6.5,12.6,1.3,19.3,181020.6,19513.0,37825.2,3902.6,57938.6,1564,1564,53452
509,99123,838,53.5,5.3,20.8,1.1,19.5,44833.0,4441.4,17430.4,921.8,16341.0,442,442,60208
510,99124,262,35.9,6.9,15.6,3.1,38.5,9405.8,1807.8,4087.2,812.2,10087.0,143,143,40809
511,99125,441,57.4,5.0,15.9,0.7,21.1,25313.4,2205.0,7011.9,308.7,9305.1,239,239,45417
512,99126,741,60.5,3.2,13.4,4.0,18.9,44830.5,2371.2,9929.4,2964.0,14004.9,371,371,60875
513,99128,200,77.0,1.5,9.0,1.5,11.0,15400.0,300.0,1800.0,300.0,2200.0,95,95,64375
514,99129,612,53.4,3.8,17.6,2.5,22.7,32680.8,2325.6,10771.2,1530.0,13892.4,299,299,41250
515,99130,637,55.6,8.3,19.3,1.6,15.2,35417.2,5287.1,12294.1,1019.2,9682.4,354,354,56833
516,99131,155,74.2,3.2,12.3,0.0,10.3,11501.0,496.0,1906.5,0.0,1596.5,86,86,45000
517,99133,1416,47.7,8.3,22.4,0.4,21.1,67543.2,11752.8,31718.4,566.4,29877.6,719,719,41602
518,99134,445,69.9,3.1,10.1,1.1,15.7,31105.5,1379.5,4494.5,489.5,6986.5,234,234,37188
519,99135,272,69.9,1.8,5.1,0.4,22.8,19012.8,489.6,1387.2,108.8,6201.6,124,124,71071
520,99136,23,26.1,21.7,21.7,8.7,21.7,600.3,499.1,499.1,200.1,499.1,12,12,0
521,99137,336,64.0,3.0,14.6,1.2,17.3,21504.0,1008.0,4905.6,403.2,5812.8,180,180,48611
522,99138,981,35.6,7.0,15.7,4.2,37.5,34923.6,6867.0,15401.7,4120.2,36787.5,442,442,36196
523,99139,1190,65.0,5.2,8.0,0.1,21.8,77350.0,6188.0,9520.0,119.0,25942.0,589,589,51250
524,99140,341,39.3,5.9,16.7,5.3,32.8,13401.3,2011.9,5694.7,1807.3,11184.8,159,159,28750
525,99141,4282,58.3,7.6,13.9,1.4,18.8,249640.6,32543.2,59519.8,5994.8,80501.6,2173,2173,50078
